,0,1,2,3,4,5,6,7
193,HDFC,2553.55,0.50,213676,0.00,0.00,0.00,0.00
194,HDFC AMC,2965.00,-0.20,43290,0.00,0.00,0.00,0.00
195,HDFC Bank,1516.40,1.02,205090,0.00,0.00,0.00,0.00
196,HDFC Life,666.40,-0.34,68247,0.00,0.00,0.00,0.00
197,HEG,2096.45,-3.46,27822,0.00,0.00,0.00,0.00
198,Heidelberg Cem,251.40,-0.55,166808,0.00,0.00,0.00,0.00
199,Heritage Foods,340.05,2.67,50100,0.00,0.00,0.00,0.00
200,Hero Motocorp,3007.00,0.54,18468,0.00,0.00,0.00,0.00
201,HFCL,45.20,-0.33,1625110,0.00,0.00,0.00,0.00
202,Himadri Special,50.90,-1.93,530886,0.00,0.00,0.00,0.00
203,Hind Copper,170.15,-2.16,458079,0.00,0.00,0.00,0.00
204,Hind Zinc,327.00,0.14,84122,0.00,0.00,0.00,0.00
205,Hindalco,394.20,1.72,1030444,0.00,0.00,0.00,0.00
206,Hindustan Aeron,1018.25,-1.04,5421,0.00,0.00,0.00,0.00
207,Honeywell Autom,42867.75,-0.12,607,0.00,0.00,0.00,0.00
208,HPCL,279.80,-0.27,144171,0.00,0.00,0.00,0.00
209,HUDCO,49.45,4.21,700046,0.00,0.00,0.00,0.00
210,HUL,2341.35,0.80,86636,0.00,0.00,0.00,0.00
211,ICICI Bank,662.20,2.95,1359723,0.00,0.00,0.00,0.00
212,ICICI Lombard,1476.00,-0.68,48697,0.00,0.00,0.00,0.00
213,ICICI Prudentia,552.40,1.13,156954,0.00,0.00,0.00,0.00
214,ICICI Securitie,601.05,1.67,60373,0.00,0.00,0.00,0.00
215,IDBI Bank,38.45,0.00,628142,0.00,0.00,0.00,0.00
216,IDFC,56.90,0.62,178472,0.00,0.00,0.00,0.00
217,IDFC First Bank,58.50,-1.10,930407,0.00,0.00,0.00,0.00
218,IEX,357.20,-1.04,130596,0.00,0.00,0.00,0.00
219,IFB Industries,1055.80,-1.29,1864,0.00,0.00,0.00,0.00
220,IFCI,12.32,4.94,651463,0.00,0.00,0.00,0.00
221,IGL,528.40,2.84,403176,0.00,0.00,0.00,0.00
222,IIFL Finance,248.70,-2.28,10914,0.00,0.00,0.00,0.00
223,India Cements,182.00,0.08,234713,0.00,0.00,0.00,0.00
224,India Tourism D,382.90,-0.18,5333,0.00,0.00,0.00,0.00
225,Indiabulls Hsg,223.90,0.07,2880046,0.00,0.00,0.00,0.00
226,Indiabulls Real,101.70,3.93,715937,0.00,0.00,0.00,0.00
227,Indiamart Inter,7401.80,-0.44,2676,0.00,0.00,0.00,0.00
228,Indian Bank,139.65,-2.07,340858,0.00,0.00,0.00,0.00
229,Indian Hotels,139.30,4.62,523655,0.00,0.00,0.00,0.00
230,Indoco Remedies,392.50,-0.60,37843,0.00,0.00,0.00,0.00
231,Indostar Capita,316.40,1.49,4953,0.00,0.00,0.00,0.00
232,INDUS TOWERS,242.30,0.06,96456,0.00,0.00,0.00,0.00
233,IndusInd Bank,1013.45,-0.53,81818,0.00,0.00,0.00,0.00
234,Info Edge,4346.60,-2.57,17841,0.00,0.00,0.00,0.00
235,Infosys,1393.65,-0.79,1009210,0.00,0.00,0.00,0.00
236,INOX Leisure,309.75,-0.37,17537,0.00,0.00,0.00,0.00
237,Interglobe Avi,1756.40,-1.11,65036,0.00,0.00,0.00,0.00
238,IOB,16.85,0.30,487300,0.00,0.00,0.00,0.00
239,IOC,109.25,-0.50,914862,0.00,0.00,0.00,0.00
240,IOL Chemicals,700.85,5.16,121484,0.00,0.00,0.00,0.00
241,Ipca Labs,2071.10,2.31,19429,0.00,0.00,0.00,0.00
242,IRB Infra,113.45,6.73,476932,0.00,0.00,0.00,0.00
243,Ircon Internati,47.90,-0.83,198116,0.00,0.00,0.00,0.00
244,IRCTC,1903.95,0.44,28877,0.00,0.00,0.00,0.00
245,ITC,216.60,1.76,2404281,0.00,0.00,0.00,0.00
246,ITI,122.95,0.57,99097,0.00,0.00,0.00,0.00
247,IWML,1182.00,-0.10,590,0.00,0.00,0.00,0.00
248,J. K. Cement,2849.00,1.53,1019,0.00,0.00,0.00,0.00
249,JagranPrakashan,57.25,-0.43,59610,0.00,0.00,0.00,0.00
250,Jai Corp,112.95,1.39,408225,0.00,0.00,0.00,0.00
251,Jamna Auto,83.45,0.72,108080,0.00,0.00,0.00,0.00
252,JB Chemicals,1452.40,1.54,5259,0.00,0.00,0.00,0.00
253,Jindal (Hisar),179.65,1.99,84512,0.00,0.00,0.00,0.00
254,Jindal Saw,107.95,8.66,1426199,0.00,0.00,0.00,0.00
255,Jindal Stainles,92.50,0.11,161358,0.00,0.00,0.00,0.00
256,Jindal Steel,407.25,2.84,568926,0.00,0.00,0.00,0.00
