,0,1,2,3,4,5,6,7
191,Future Ent,9.08,-0.66,112320,9.08,9.10,244.00,1629.00
192,Future Ent DVR,12.19,-4.54,8628,0.00,12.92,0.00,46.00
193,Future Life,55.00,1.10,13807,55.00,55.75,1.00,300.00
194,Future Supply,72.15,-0.62,3363,71.75,72.55,50.00,69.00
195,Gabriel India,120.25,-4.64,39278,120.00,121.00,1388.00,100.00
196,Galaxy Surfacta,2972.50,-2.64,2778,2972.50,2992.50,1.00,4.00
197,Garden Reach Sh,182.10,-1.38,12871,182.10,183.20,5.00,65.00
198,Garware Technic,2867.55,1.21,2613,2829.00,2890.00,3.00,2.00
199,Gateway Distri,300.25,2.35,46651,300.10,301.00,250.00,338.00
200,Gati,118.25,-4.02,324361,118.00,118.25,37.00,1.00
201,Gayatri Project,34.05,-3.27,144791,34.05,34.25,1.00,5.00
202,GE Power India,289.20,-2.15,54658,289.70,291.00,784.00,50.00
203,GE Shipping,414.70,0.92,20255,414.70,417.95,102.00,25.00
204,GE T&D India,134.15,-1.97,21608,133.35,136.00,200.00,100.00
205,Genus Power,58.40,-3.87,122903,58.60,59.00,60.00,100.00
206,Geojit Fin,67.60,0.07,90621,67.60,67.50,74.00,351.00
207,GIC Housing Fin,126.05,0.12,7844,126.05,127.00,9.00,10.00
208,GIL,263.90,0.50,10049,260.00,264.00,202.00,96.00
209,Globus Spirits,337.80,-2.86,85496,338.00,340.00,10.00,148.00
210,GMM Pfaudler,5037.85,-2.02,4919,5037.85,5073.55,20.00,80.00
211,GNA Axles,429.00,0.48,5963,429.00,429.00,183.00,3.00
212,GNFC,379.80,-3.54,47874,379.80,379.80,1.00,1.00
213,Goa Carbon,336.75,-3.02,5920,335.00,336.75,1.00,50.00
214,Godawari Power,975.50,0.71,23677,971.00,973.90,4.00,4.00
215,Godfrey Phillip,898.95,0.04,8400,896.15,900.90,5.00,200.00
216,Godrej Agrovet,554.50,1.24,45989,546.60,559.85,500.00,200.00
217,Gokaldas Export,132.20,-3.11,38256,133.05,135.00,100.00,15.00
218,Goldiam Inter,422.40,-3.35,22439,422.40,423.90,989.00,10.00
219,Goodyear,962.95,3.52,32580,963.00,968.00,54.00,10.00
220,Granules India,315.50,-0.11,119882,316.00,317.00,103.00,200.00
221,Graphite India,744.65,-2.86,270371,744.65,744.65,30.00,8.00
222,Grauer and Weil,51.95,-4.50,443907,52.00,52.35,50.00,612.00
223,Gravita India,106.25,2.21,25829,106.25,107.15,301.00,200.00
224,Greaves Cotton,127.00,-1.44,121429,126.80,127.00,68.00,110.00
225,Greenply Ind,202.60,-0.71,18295,202.00,205.00,702.00,1.00
226,Grindwell Norto,1241.30,4.56,18303,1241.30,1250.00,25.00,20.00
227,GSFC,114.45,-4.07,256909,114.45,115.00,220.00,1010.00
228,GTPL Hathway,142.65,-1.52,7852,142.65,142.65,251.00,250.00
229,Gufic Bio,184.20,-1.23,118603,183.00,184.20,30.00,462.00
230,Guj Alkali,407.90,-0.85,17996,407.90,415.50,25.00,286.00
231,Guj Amb Exports,165.85,-4.85,115028,166.00,167.50,109.00,480.00
232,Guj Heavy Chem,265.15,1.67,34670,265.15,269.90,6.00,50.00
233,Guj Ind Power,81.15,-2.99,61553,81.00,81.15,2.00,75.00
234,Guj Mineral,74.65,2.61,357877,74.50,74.65,850.00,81.00
235,Guj State Petro,278.55,-1.05,46077,277.00,278.55,33.00,50.00
236,Gujarat Fluoro,819.50,-1.81,5484,816.45,819.50,3.00,2.00
237,Gujarat Gas,511.05,-0.33,22043,511.05,513.00,5.00,50.00
238,Gujarat Pipavav,106.10,-1.53,76034,105.50,106.10,1.00,695.00
239,Gulf Oil Lubric,711.25,0.66,15986,711.25,716.80,55.00,50.00
240,Happiest Minds,873.60,2.05,1120451,867.60,870.05,178.00,63.00
241,Hathway Cable,25.70,-1.91,479880,25.70,25.70,7027.00,574.00
242,Hawkins Cooker,5887.60,-1.19,6574,5855.05,5895.00,1.00,2.00
243,HBL Power,43.00,-4.76,188214,43.00,43.00,842.00,258.00
244,HCL Info,10.81,4.95,820692,10.81,0.00,259117.00,0.00
245,Healthcare Glob,186.75,-0.66,8786,186.75,190.00,25.00,5.00
246,HEG,2171.55,-7.69,57568,2171.55,2171.55,47.00,90.00
247,Heidelberg Cem,252.80,1.79,15266,252.80,254.00,227.00,25.00
248,Hemisphere,132.30,-2.51,242239,132.60,133.50,16.00,823.00
249,Heritage Foods,331.20,0.03,18959,330.00,331.20,1889.00,17.00
250,Hester Bio,2869.35,5.59,18646,2869.35,2869.35,213.00,2.00
251,HFCL,45.35,-3.20,2349878,45.65,45.75,19.00,375.00
252,HG Infra Engg,384.45,-1.66,41866,384.45,384.45,20.00,887.00
253,Hikal,414.00,-3.55,81414,414.00,414.00,2.00,10.00
254,HIL,5015.50,6.72,2345,5038.00,5049.00,49.00,1.00
255,Himadri Special,51.90,-4.24,913996,52.00,52.40,1295.00,100.00
256,Himatsingka Sei,174.60,-3.03,28267,174.60,174.60,1000.00,1.00
257,Hind Constr,11.11,6.11,8335675,11.12,11.11,1954.00,27223.00
258,Hind Copper,173.90,1.43,553219,173.90,173.90,993.00,282.00
259,Hind Rectifiers,139.65,-5.90,13082,139.00,150.00,1.00,50.00
260,Hinduja Global,1835.95,3.00,4043,1835.95,1842.40,5.00,10.00
261,Hindustan Foods,2233.80,-1.12,1691,2205.00,2233.80,5.00,1.00
262,HLE Glascoat,3387.20,-1.06,2235,3367.10,3418.90,5.00,10.00
263,HOEC,101.40,4.32,103328,101.40,101.40,322.00,50.00
264,Honda India PP,1039.80,-3.53,2611,1035.70,1044.00,50.00,62.00
265,HSIL,235.05,2.84,149840,235.05,239.20,155.00,200.00
266,HUDCO,47.45,-2.16,121851,47.45,47.60,5.00,3.00
267,Huhtamaki India,275.40,-0.94,11556,275.70,277.00,33.00,10.00
268,IDFC,56.55,-2.67,288546,56.55,57.40,15766.00,1000.00
269,IEX,360.95,2.27,371424,360.95,360.95,1656.00,49.00
270,IFB Industries,1069.65,-0.22,6785,1069.65,1085.80,13.00,2.00
271,IFCI,11.74,-2.17,404450,11.75,11.84,600.00,1200.00
272,IG Petro,556.60,-1.83,13174,556.60,578.00,57.00,45.00
273,Igarashi Motors,435.00,0.20,9256,435.00,445.00,51.00,1.00
274,IIFL Finance,254.50,-0.31,10487,253.00,254.50,24.00,2000.00
275,India Cements,181.85,-2.81,341179,181.50,181.85,1.00,82.00
276,India Glycols,470.65,-1.14,9032,470.65,470.65,10.00,5.00
277,India Nippon,385.95,-2.53,4577,384.00,386.50,19.00,4.00
278,India Tourism D,383.60,-1.08,7790,383.60,393.00,349.00,5.00
279,Indiabulls Hsg,223.75,3.28,849373,223.75,223.75,181.00,145.00
280,Indiabulls Real,97.85,-2.54,789263,97.85,98.30,5191.00,125.00
281,Indiamart Inter,7434.55,-1.59,4223,7443.05,7490.50,4.00,10.00
282,Indian Bank,142.60,1.13,514110,142.60,142.60,4632.00,1199.00
283,Indian Hume,214.90,-2.41,45002,214.15,214.90,10.00,100.00
284,Indian Metals,429.85,1.61,13744,429.85,432.40,2.00,211.00
285,Indo Count,144.15,-2.83,56415,143.00,144.15,1.00,135.00
286,Indoco Remedies,394.85,1.31,200047,396.00,399.85,195.00,15.00
287,Indostar Capita,311.75,0.47,5557,311.75,316.00,100.00,4.00
288,Indraprastha,86.80,-0.29,63268,87.00,87.50,194.00,1008.00
289,Infibeam Avenue,45.50,10.04,2837806,45.50,45.70,15555.00,5118.00
290,Ingersoll Rand,955.55,-3.00,10249,945.00,955.00,20.00,5.00
291,INOX Leisure,310.90,-1.30,76676,310.90,310.90,10.00,9.00
292,Inox Wind,73.65,-1.07,13875,73.50,74.20,14.00,2.00
293,Insecticides,531.70,-0.66,4177,528.30,540.00,25.00,5.00
294,Intellect Desig,765.35,-0.21,13834,760.00,769.00,15.00,2.00
295,IOB,16.80,0.00,614072,16.80,16.85,1069.00,11051.00
296,IOL Chemicals,666.45,0.82,106027,666.45,669.00,990.00,6.00
297,Ion Exchange,1459.60,0.12,100551,1459.60,1459.60,174.00,144.00
298,Ipca Labs,2024.25,-7.98,60011,2024.25,2041.00,222.00,5.00
299,IRB Infra,106.30,-1.30,110589,105.90,106.30,70.00,2730.00
300,Ircon Internati,48.30,-0.82,236610,48.35,48.40,18218.00,58.00
301,ISGEC Heavy Eng,570.10,0.20,27486,570.10,570.10,94.00,127.00
302,ISL,75.80,-3.32,168622,75.80,75.80,8.00,492.00
303,ITD Cementation,80.60,-4.45,127837,80.60,80.60,1000.00,20.00
304,ITI,122.25,1.66,78025,122.25,122.25,1.00,251.00
305,IWML,1183.20,1.14,3102,1175.60,1187.45,4.00,17.00
306,J Kumar Infra,176.55,0.31,41004,176.60,179.00,99.00,299.00
307,J. K. Cement,2806.15,0.02,2192,2800.00,2820.00,3.00,10.00
308,JagranPrakashan,57.50,-0.78,11144,57.00,57.80,1.00,43.00
309,Jai Corp,111.40,-2.11,377691,111.40,111.40,140.00,10.00
310,Jain Irrigation,22.30,-2.83,381606,22.40,22.30,200.00,388.00
311,Jaiprakash Asso,8.36,-4.68,4497760,8.38,8.40,3327.00,1540.00
312,Jaiprakash Pow,3.88,-1.27,5941314,3.88,3.89,2000.00,15340.00
313,Jamna Auto,82.85,-1.95,149393,82.85,83.40,9908.00,935.00
314,Jay BharatMarut,362.45,-1.63,3714,360.00,362.00,42.00,20.00
315,JB Chemicals,1430.35,-1.13,3684,1425.00,1455.00,3.00,1.00
316,JBM Auto,421.55,-1.48,1191,416.90,432.00,1.00,6.00
317,Jindal (Hisar),176.15,0.23,42986,175.00,176.15,65.00,2.00
318,Jindal PolyFilm,855.70,-0.18,16471,863.00,874.00,4.00,100.00
319,Jindal Saw,99.35,5.08,1258863,98.60,99.00,25.00,100.00
