,0,1,2,3,4,5,6,7
148,Fine Organics,3017.00,1.09,2844,3016.30,3022.50,5.00,2.00
149,Finolex Cables,461.00,1.04,39573,461.35,462.00,33.00,751.00
150,Finolex Ind,171.20,0.74,29571,170.85,171.00,10.00,50.00
151,Firstsource Sol,151.05,1.55,445029,150.95,151.00,272.00,262.00
152,Fortis Health,227.70,0.31,137282,227.75,227.95,100.00,399.00
153,Future Consumer,7.90,1.28,3930628,7.85,7.90,358199.00,670297.00
154,Future Retail,54.40,3.43,1722399,54.25,54.30,50.00,4830.00
155,GAIL,161.75,0.47,935990,161.80,161.85,2350.00,2078.00
156,Galaxy Surfacta,2994.05,0.39,5253,2995.05,2997.40,11.00,16.00
157,Garden Reach Sh,186.95,0.67,24559,186.75,187.00,160.00,100.00
158,Garware Technic,2879.15,0.61,388,2872.10,2879.05,8.00,2.00
159,GE Power India,296.75,1.64,33711,296.75,296.95,18.00,50.00
160,GE Shipping,434.95,0.81,27497,434.35,434.55,11.00,12.00
161,GE T&D India,135.45,2.07,26552,135.35,135.55,593.00,10.00
162,General Insuran,201.70,0.85,59126,201.70,201.80,37.00,144.00
163,Gillette India,5639.45,0.27,438,5632.00,5639.40,5.00,2.00
164,GlaxoSmithKline,1522.80,0.14,862,1522.90,1524.40,8.00,3.00
165,Glenmark,617.45,0.20,237661,617.50,617.70,84.00,50.00
166,GMM Pfaudler,4925.30,0.29,3949,4926.25,4930.00,10.00,1.00
167,GMR Infra,26.20,0.00,986651,26.15,26.20,58638.00,108366.00
168,GNFC,385.70,-0.46,34814,385.50,385.70,80.00,143.00
169,Godfrey Phillip,936.00,2.49,38852,936.00,936.90,275.00,22.00
170,Godrej Agrovet,563.65,-0.08,8111,563.05,563.65,5.00,2.00
171,Godrej Consumer,856.50,-0.95,119271,856.15,856.75,16.00,21.00
172,Godrej Ind,528.90,0.35,11713,528.25,528.90,25.00,17.00
173,Godrej Prop,1410.90,0.38,66453,1411.05,1412.00,81.00,531.00
174,Granules India,324.05,0.23,293689,324.05,324.20,35.00,190.00
175,Graphite India,768.90,0.93,169082,768.45,768.95,37.00,13.00
176,Grasim,1470.00,0.73,81441,1468.85,1469.40,2.00,44.00
177,Greaves Cotton,128.80,0.47,46766,128.60,128.65,1239.00,5.00
178,Grindwell Norto,1206.55,0.17,2194,1206.50,1206.75,2.00,1032.00
179,GSFC,108.90,0.05,256221,109.05,109.20,41.00,657.00
180,Guj Alkali,407.50,0.02,17587,407.15,407.45,30.00,113.00
181,Guj Heavy Chem,268.55,0.60,32687,268.60,268.85,18.00,5.00
182,Guj Mineral,73.65,0.07,147027,73.50,73.60,684.00,582.00
183,Guj State Petro,296.85,3.52,2335709,296.65,296.85,210.00,1000.00
184,Gujarat Fluoro,1009.45,2.14,154796,1025.20,1026.00,32.00,26.00
185,Gujarat Gas,578.15,-0.34,235289,578.70,578.75,72.00,171.00
186,Gujarat Pipavav,104.95,0.00,64334,104.90,105.00,297.00,1946.00
187,Gulf Oil Lubric,712.50,2.06,11739,713.05,713.90,34.00,32.00
188,Hathway Cable,25.95,0.78,351889,25.90,25.95,868.00,31736.00
189,Hatsun Agro,857.00,0.03,1713,856.00,857.30,1.00,27.00
190,Havells India,1072.00,-0.12,266853,1071.25,1071.85,28.00,2.00
191,HCL Tech,941.25,0.24,231310,941.70,941.95,126.00,29.00
192,HDFC,2599.90,0.60,221692,2599.00,2599.50,20.00,1.00
193,HDFC AMC,3091.95,1.26,54899,3089.45,3091.00,31.00,14.00
194,HDFC Bank,1517.95,-0.20,377797,1517.25,1517.50,9.00,121.00
195,HDFC Life,683.90,0.79,219763,683.60,683.80,47.00,80.00
196,HEG,2283.00,3.08,135769,2281.45,2283.45,4.00,4.00
197,Heidelberg Cem,251.30,-0.50,47983,251.20,251.50,453.00,42.00
198,Heritage Foods,375.60,-0.64,34203,375.00,375.30,60.00,20.00
199,Hero Motocorp,3045.95,1.22,208547,3045.05,3046.00,2.00,1167.00
200,Hexaware Tech,470.80,0.00,268017,0.00,470.80,0,620
201,HFCL,46.90,1.63,2613271,46.85,46.90,44242.00,75.00
202,Himadri Special,51.85,0.19,573410,51.80,51.90,2646.00,1883.00
203,Himatsingka Sei,168.00,-0.74,19291,168.05,168.55,46.00,7.00
204,Hind Copper,160.60,-0.65,636271,160.75,160.85,2000.00,656.00
205,Hind Zinc,324.70,0.00,129269,324.55,324.70,318.00,875.00
206,Hindalco,397.40,-0.45,1060331,397.35,397.40,51.00,54.00
207,Hindustan Aeron,1050.15,0.10,11991,1050.10,1050.95,23.00,36.00
208,Honeywell Autom,42178.00,0.55,193,42150.05,42178.00,1.00,1.00
209,HPCL,287.40,0.00,399854,287.55,287.65,514.00,22.00
210,HUDCO,50.80,1.91,523715,50.75,50.80,8200.00,199.00
211,HUL,2347.50,-0.65,147410,2347.90,2347.95,8.00,23.00
212,ICICI Bank,651.50,0.18,658819,651.45,651.55,146.00,100.00
213,ICICI Lombard,1458.90,-1.07,85015,1458.95,1459.05,4.00,19.00
214,ICICI Prudentia,578.45,1.45,291162,577.80,578.00,251.00,312.00
215,ICICI Securitie,599.00,-0.70,60772,598.75,599.50,55.00,18.00
216,ICRA,3281.10,2.07,944,3293.00,3303.00,2.00,1.00
217,IDBI Bank,39.55,1.93,9992870,39.50,39.55,92274.00,22238.00
218,IDFC,56.90,0.00,150780,56.85,56.90,1031.00,33536.00
219,IDFC First Bank,60.80,0.33,1981392,60.80,60.85,21217.00,10568.00
220,IEX,357.95,0.28,125873,358.00,358.30,1.00,6.00
221,IFB Industries,1137.80,-0.89,3788,1139.10,1140.65,1.00,32.00
222,IFCI,13.05,0.38,1043349,13.05,13.10,27683.00,44448.00
223,IGL,525.30,-0.34,110935,524.35,524.65,28.00,24.00
224,IIFL Finance,261.15,0.17,6632,261.00,261.35,122.00,136.00
225,India Cements,191.55,1.24,912710,191.50,191.65,551.00,450.00
226,India Tourism D,391.20,1.22,9892,390.95,391.45,4.00,3.00
227,Indiabulls Hsg,231.80,1.33,1678940,231.80,231.85,4063.00,60.00
228,Indiabulls Real,107.40,1.08,1400396,107.25,107.40,50.00,7397.00
229,Indiamart Inter,6912.35,0.23,16641,6911.00,6911.05,3.00,3.00
230,Indian Bank,146.45,0.07,477090,146.60,146.70,1.00,85.00
231,Indian Hotels,140.25,3.55,1102188,140.10,140.15,36.00,130.00
232,Indoco Remedies,391.55,-0.29,25435,391.30,391.75,12.00,21.00
233,Indostar Capita,374.25,-0.81,13567,374.40,374.95,16.00,16.00
234,INDUS TOWERS,245.50,-0.41,159265,245.40,245.50,421.00,152.00
235,IndusInd Bank,1023.10,1.58,548509,1021.05,1021.55,191.00,122.00
236,Infibeam Avenue,51.00,-0.68,723928,50.90,50.95,35634.00,2082.00
237,Info Edge,4579.85,0.02,45793,4578.45,4580.95,18.00,15.00
238,Infosys,1393.05,0.31,354625,1393.90,1393.95,5.00,124.00
239,Ingersoll Rand,985.25,3.78,39266,987.15,988.00,16.00,100.00
240,INOX Leisure,318.00,0.33,20043,317.85,317.90,5.00,30.00
241,Intellect Desig,753.40,0.07,16339,752.20,752.80,2.00,41.00
242,Interglobe Avi,1766.80,-0.06,43101,1763.40,1764.35,10.00,54.00
243,IOB,17.75,1.43,1779636,17.70,17.75,132704.00,185762.00
244,IOC,112.90,0.44,1900031,112.90,112.95,1758.00,19262.00
245,Ipca Labs,2091.90,0.17,34644,2090.60,2091.20,14.00,1.00
246,IRB Infra,127.45,-0.89,487405,127.50,127.70,677.00,639.00
247,Ircon Internati,47.40,0.85,328200,47.35,47.40,2077.00,3585.00
248,IRCTC,1928.30,0.28,38979,1927.15,1928.00,27.00,23.00
249,ITC,208.10,-0.41,3027137,208.10,208.20,7481.00,3801.00
250,ITI,126.25,4.09,975615,126.10,126.30,7141.00,318.00
251,IWML,1179.00,0.53,138,1179.05,1180.00,6.00,4.00
252,J. K. Cement,2860.95,0.51,2384,2855.80,2858.10,1.00,1.00
253,JagranPrakashan,58.85,-0.68,38238,58.65,58.80,7.00,102.00
254,Jai Corp,117.40,0.30,298869,116.85,117.00,2601.00,1525.00
255,Jamna Auto,81.15,0.87,63393,81.05,81.20,99.00,571.00
256,JB Chemicals,1494.40,-0.99,7299,1494.00,1494.50,10.00,11.00
257,Jindal (Hisar),175.90,-0.40,34956,175.45,175.60,19.00,120.00
258,Jindal Saw,113.05,-1.05,570016,113.05,113.20,426.00,85.00
259,Jindal Stainles,93.75,-0.05,63849,93.80,93.95,326.00,69.00
260,Jindal Steel,399.10,0.48,760846,399.05,399.20,94.00,5.00
261,JK Bank,29.65,0.51,396506,29.65,29.70,10.00,34255.00
262,JK Lakshmi Cem,552.00,0.29,35355,550.55,551.00,90.00,390.00
263,JK Paper,163.15,-0.03,300840,162.55,162.70,233.00,500.00
264,JK Tyre & Ind,133.90,-0.04,193287,133.70,133.85,1397.00,1030.00
265,JM Financial,88.00,0.51,41393,87.85,88.00,209.00,35170.00
266,Johnson Control,2237.70,0.70,1162,2239.75,2241.85,1.00,1.00
267,JSW Energy,135.60,-0.18,839266,135.75,135.90,922.00,277.00
268,JSW Steel,709.30,-0.69,1252398,709.15,709.30,171.00,103.00
269,Jubilant Food,3156.00,-0.46,64578,3161.10,3163.00,26.00,430.00
270,Jubilant Pharmo,854.05,1.36,38038,854.25,854.50,3.00,28.00
271,Just Dial,944.15,1.41,321147,943.10,943.70,64.00,5.00
272,Jyothy Labs,158.30,0.48,29528,157.80,157.95,250.00,260.00
273,Kajaria Ceramic,1004.80,0.69,26132,1004.05,1004.80,86.00,68.00
274,Kalpataru Power,435.45,1.19,25390,434.50,435.15,52.00,20.00
275,Kansai Nerolac,581.60,1.36,16148,582.30,582.75,220.00,475.00
276,Karnataka Bank,64.00,0.63,132235,63.90,64.00,2041.00,2076.00
277,Karur Vysya,56.05,0.54,72953,56.05,56.10,1152.00,5170.00
278,Kaveri Seed,709.05,0.25,9273,709.15,709.65,6.00,53.00
279,KEC Intl,405.65,-0.14,9080,405.10,405.65,11.00,112.00
280,KEI Industries,675.40,1.57,41405,674.55,675.40,40.00,96.00
281,KNR Construct,226.50,1.25,29578,226.30,226.55,70.00,43.00
282,Kolte-Patil,228.90,1.62,32523,228.95,229.25,52.00,10.00
283,Kotak Mahindra,1818.10,0.19,111805,1817.25,1817.95,71.00,28.00
284,KPIT Tech,246.25,2.77,74492,246.20,246.60,78.00,18.00
285,KPR Mill,1544.60,-0.20,1643,1541.45,1544.10,6.00,4.00
286,KRBL,227.05,-0.57,155807,227.10,227.20,12.00,59.00
